reviewId,content,score
7da9a3a9-406f-4d25-9976-16659b9cc303,"sangat bagus dan memudahkan dalam pemesanan tiket tanpa perlu antri ke loket, tapi saat ini saya ingin melakukan cetak e boarding pas tidak bisa buka aplikasi, padahal saat ini saya sedang ada dalam perjalanan. tolong lekas di perbaiki agar saya dapat melakukan cetak e boarding pas.",4
a9cea8a9-bedd-473a-887d-5567148e27f8,"sebenernya ini apk udh cukup membantu, tapi masih banyak yang perlu dinotis sama develop. Masih banyak bug, e-boarding pass tiba-tiba gabisa dibuka pas mau di scan. end nya harus cetak, ripuh bener heran. e-tiket buat krl juga susah bener dibukanya. load lama, bug, udh beli tiket krl tapi malah ga muncul pas mau dipake. menyusahkan, kecewa berat. udh brp ribu uang ilang demi nih apk. stres",1
c11d6996-23cb-42b8-b0f8-31f5dcb5ac21,"Tolong aplikasinya diperbaiki, mau pesan tiket tidak bisa loading terus, sekalinya bisa tempat duduk sudah tidak tersedia. Terus ketika pembayaran juga ada problem, keterangan sudah berhasil dibayarkan tapi tiketnya tidak muncul diaplikasi, jadi harus menghubingi CS dulu buat minta kode bookingnya biar bisa dicetak. Sudah berulang kali kayak gini tapi masih aja gk ada perbaikan.",1
8b12a49c-0320-49bd-8c1a-76ee0af51745,"Sistem yang aneh, kenapa? [1] Hanya bisa beli tiket berisi maksimal empat orang. Jadi ketika daftar suami istri dan tiga anak terpaksa salah satu tidak dalam satu tiket. [2] Tidak bisa membatalkan salah satu nama karena saya bukan salah satu dari list nama (karena maks empat). Padahal saya sendiri yang daftarkan. [3] Tidak ada fitur perubahan data penumpang, misal ingin saya ganti dengan nama lain.",1
807a5913-129c-4484-8965-66a5314849c1,"Masukan untuk sistem pembayaran di opsi e-wallet, sebelumnya sudah menambahkan shopeepay tp ketika mau bayar dengan shopeepay selalu gak ada opsi nya, ketika klik tambah e-wallet baru muncul, ketika di klik tp hanya ada opsi hapus shopeepay",4
fd8268d5-5f88-49b3-b1d6-414c8fbc3d8b,"di versi sekarang(Terbaru) terdapat Bug saat Login Email dan input pasword, dan saat memilih stasiun tujuan pada KA-LOKAL. saat password salah input, muncul kode eror HTML. dan saat setelah input email/no. telepon. tombol masuk saat di klik terkadang muncul kayak sebuah pop-up ""Failed to request"". dan apps terasa berat saat navigasi antar tab/menu.",2
8c0bc986-e9b2-4d7f-96f1-a8ce7648d28a,Dulu bisa bayar lewat indomaret dan linkaja. Sekarang udah gabisa. Udah topup ovo & shopeepay ternyata error mulu. Kalo emang gabisa dan harus pake kaipay bilang dari awal. Terlanjur topup gini terus gimana? Balikin aplikasi kai yang lama,1
4e60dc45-f74a-4ff6-955d-77994f620307,"Setelah update pembaharuan, rute yang sering saya gunakan malah tidak tersedia. Pembaharuan aplikasinya tidak merata. Sudah dicoba beberapa kali Uninstall dan download lagi tetap sama. Mohon untuk segera dilakukan pembaharuan yang merata kembali.",2
5d189443-c5a3-420a-bcd8-7a24b387546d,"Sering bgt war tiket di Garuda Indonesia, Traveloka dll selalu bisa dan aplikasinya ga eror. Tapi baru kali ini di permainkan aplikasi dengan promonya yg 80k tapi ada waiting timenya untuk masuk dan itu beberapa kali bukan hanya 1x aja. Pas udh bisa masuk cuma dikasih waktu 15 menit itupun loading doang dan pas ada juga bukan 80k. Jujur persiapannya kurang mateng nih kai coba di benahi lagi. Sorry kasih bintang 3 aja karena seakan2 mempermainkan kita yg udah standby hp untuk war tikettttt:)",3
50b602f0-908c-4a01-8688-e96ad468525b,"sy mendownload app ini cuma karna suka kehabisan tiket di loket ka lokal merak rangkas (walopun sering/banyak kursi kosong) tuk kai, lebih baik sistem tiket di ka lokal merak rangkas dihapus aja, ganti pake tap kartu/emoney saja. selain harga tiket yg 1 harga (jauh/dekat) masih banyak warga banten (terutama orang2 kampung) yg tidak instal & paham app ini. dulu waktu pake sistem nomor bangku malah lebih banyak kursi kosong yg mubazir karna orang enggan tuk menempatinya. jarak merak rangkas 1,5 j",5
a3e415f8-eada-4e50-9644-64467cbceea6,"Update akhir september 2025. JELEK BANGET. baru mau buka jadwal, abis pilih tanggal udah suruh antri, abis 7 menit udah nungguin kurang 10 detik balik 7 menit lagi, nungguin lagi kurang 1 detik, balik lagi 7 menit lagi, sabar banget sy ngulangin proses ini sampe 5 kali tanpa keluar aplikasi, tp tiap kurang 1-2 detik waktu antrian balik 7 menit lagi. Masih mau liat jadwal lho baru klik tanggal doang, KECEWA. Bayangin hampir sejam nunggu sy ga dapat info apapun, apalagi mau pesan.",1
893f26c1-9378-4ad6-b13e-afd19d2977a9,saya sudah pesan tiket di transfer berhasil namun tiket tidak muncul saya sudah dua kali pesan tidak muncul juga dan tidak bisa refund dana saya bagaimana ini tolong kondisikan aplikasi nya jangan sampai banyak orang yang dirugikan dengan system yang erorr,1
5be3ea42-dcd7-4828-a8bf-250807310e66,"motto ""anda adalah prioritas kami"", masih kurang pantas, pembatalan tiket tidak bisa melalui aplikasi, fasilitas nya tersedia dalam aplikasi tapi error terus, jadi prioritasnya belum saya rasakan, punya aplikasi hanya bantu gak ngantri aja di loket, sisanya kurang manfaat.... delete aja gitu...",1
